2026-06-29 15:54:18.531 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана вероятность удара и удар пропущен
2026-06-29 15:54:18.532 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 63 при шансах 58/100
2026-06-29 15:54:18.571 [main] INFO  rogue.model.domain.entities.characters.Player - Начата атака на монстра
2026-06-29 15:54:18.571 [main] INFO  rogue.model.domain.utils.CombatResolver - Выпало 20 при шансах 41/100
2026-06-29 15:54:18.571 [main] INFO  rogue.model.domain.entities.characters.Player - Посчитана сила удара 93
2026-06-29 15:54:18.571 [main] INFO  rogue.model.domain.entities.characters.Player - Удар нанесён. Здоровье монстра составляет -28.0
2026-06-29 15:54:18.571 [main] INFO  rogue.model.domain.entities.characters.Player - Монстр убит class rogue.model.domain.entities.characters.communicators.Student
2026-06-29 15:54:18.571 [main] INFO  rogue.model.domain.entities.characters.Player - Поднято 21 золота
2026-06-29 15:54:21.998 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Свиток календарных открытий
2026-06-29 15:54:22.761 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 4 ===
2026-06-29 15:54:22.761 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:54:22.762 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:54:28.752 [main] INFO  rogue.model.domain.entities.characters.Player - Поднят предмет Неразборчивая, но приятная похвала
2026-06-29 15:54:31.564 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 5 ===
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:54:31.565 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 6 ===
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:54:32.717 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:54:32.718 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:54:32.718 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:54:33.053 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 7 ===
2026-06-29 15:54:33.053 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:54:33.053 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:54:33.054 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
2026-06-29 15:54:33.348 [main] INFO  rogue.model.domain.entities.Level - === Начало генерации уровня 8 ===
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 0
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 1
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 2
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 3
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 4
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 5
2026-06-29 15:54:33.349 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 6
2026-06-29 15:54:33.350 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 7
2026-06-29 15:54:33.350 [main] INFO  rogue.model.domain.entities.Room - Генерация комнаты 8
2026-06-29 15:54:33.350 [main] INFO  rogue.model.domain.entities.passages.Passages - Начало генерации проходов
